RobustOnly,Land,Kod,Parti,Partikod,År,Rile,Status,EU,Dubious,Regering,Support,G,Seats,Rseats,MM,Cseats,Cperseats,NameC,PositionC,PMseats,WW,NamePM,PositionPM,C,LargForm,SS,cult,econ,cultPM,econPM,RR,PP,EE,NN,SET,M,S,W,RRsc,RRse,R,PPsc,PPse,P,E,N,T
0,Sverige,W,V,V2014,2014,Left,Party,1994,0,0,1,0.6,349,21,6.02,113,32.38,S,L,113,32.38,S,L,1,F,0.58,-1.757245708,-0.143182876,1.357775127,0.27784705,-0.143182876,-0.421029927,70,4.99,1,0.602,0.573566085,0.262,1,0.959834967,0.959834967,0.805078738,1,1,1,0.502,1
0,Finland,W,VAS,VAS1991,1991,Left,Party,1994,0,0,0,0,200,19,9.5,48,24,SDP,L,55,27.5,KESK,R,0,F,-0.5,0,-3.218895025,0,-3.433969785,-3.218895025,0,46,5.23,1,0.95,0.252525253,0.75,1,0,0,1,1,1,1,0.454,0
0,Finland,W,VAS,VAS1995,1995,Left,Party,1994,0,1,0,1,200,22,11,63,31.5,SDP,L,63,31.5,SDP,L,1,F,1.5,0,0,0,2.197209022,0,-2.197209022,50,4.88,1,1,0.688279302,0.35,1,1,1,0.022560247,0.525492027,0.525492027,1,0.524,1
0,Finland,W,VAS,VAS1999,1999,Left,Party,1994,0,1,0,1,200,20,10,51,25.5,SDP,L,51,25.5,SDP,L,1,F,-1,0.762453653,-0.88362275,-2.197151241,2.564929357,-0.88362275,-3.448552107,54,5.15,1,1,0,0.95,1,0.640679849,0.640679849,0,0.116373475,0.116373475,1,0.47,0
0,Finland,W,VAS,VAS2003,2003,Left,Party,1994,0,0,0,0,200,19,9.5,53,26.5,SDP,L,55,27.5,KESK,R,0,F,-0.5,0,0.587862222,1.610237593,-0.066630941,0.587862222,0,58,4.93,1,0.95,0.252525253,0.75,1,1,1,1,1,1,1,0.514,0
0,Finland,W,VAS,VAS2007,2007,Left,Party,1994,0,0,0,0,200,17,8.5,45,22.5,SDP,L,51,25.5,KESK,R,0,F,-1,-0.251015894,-0.747029647,1.912971384,0.928733819,-0.747029647,-1.675763466,62,5.13,1,0.85,0,0.95,1,0.699556187,0.699556187,0.245400228,0.668746301,0.668746301,1,0.474,0
0,Finland,W,VAS,VAS2011a,2011,Left,Party,1994,0,1,0,1,200,14,7,42,21,SDP,L,44,22,KOK,R,0,F,-1.5,0.955268989,-1.825101182,0.100083459,1.926678787,-1.825101182,-3.751779969,66,5.83,1,0.7,0,1,1,0.220408554,0.220408554,0,0.015966898,0.015966898,1,0.334,0
0,Finland,W,VAS,VAS2011b,2011,Left,Party,1994,0,0,0,0,200,14,7,42,21,SDP,L,44,22,KOK,R,0,F,-1.5,0.955268989,-1.825101182,0.100083459,1.926678787,-1.825101182,-3.751779969,66,5.83,1,0.7,0,1,1,0.220408554,0.220408554,0,0.015966898,0.015966898,1,0.334,0
0,Island,W,VGF,VGF1999,1999,Left,Party,NA,0,0,0,0,63,6,9.52,17,26.98,S,L,26,41.27,SSF,R,0,F,0,0.336472237,-1.609437912,0.762216241,1.767673068,-1.609437912,-3.37711098,0,3.45,1,0.952,0.501246883,0,1,0.318437313,0.318437313,0,0.140029477,0.140029477,0,0.81,0
0,Island,W,VGF,VGF2003,2003,Left,Party,NA,0,0,0,0,63,5,7.94,20,31.75,S,L,22,34.92,SSF,R,0,F,-1.58,1.021803351,0.111442369,1.098801633,2.024540484,0.111442369,-1.913098115,4,3.71,1,0.794,0,0.008,1,1,1,0.143975165,0.603544474,0.603544474,0,0.758,0
0,Island,W,VGF,VGF2007,2007,Left,Party,NA,0,0,0,0,63,9,14.29,18,28.57,S,L,25,39.68,SSF,R,0,F,6.35,1.609561905,2.197209022,0.969299499,2.001333411,2.197209022,0,8,3.62,1,1,1,0,1,1,1,1,1,1,0.5,0.776,0
0,Island,W,VGF,VGF2009,2009,Left,Party,NA,0,1,0,1,63,14,22.22,20,31.75,S,L,20,31.75,S,L,1,F,7.93,2.197295686,0.847234371,0,-0.143071097,0.847234371,0,10,4.18,1,0.056,1,0.325,0.695002319,1,1,1,1,1,0.75,0.664,0
0,Island,W,VGF,VGF2013,2013,Left,Party,NA,0,0,0,0,63,7,11.11,9,14.29,S,L,19,30.16,F,R,0,F,-11.11,0.510885604,0.546499496,1.098845595,-0.246163538,0.546499496,0,14,4.42,1,1,0,0.484,1,1,1,1,1,1,1,0.616,0
0,Slovakien,C,ZRS,ZRS1994,1994,Left,Party,2004,0,1,0,1,150,13,8.67,18,12,SV,L,61,40.67,HZDS,R,0,F,0,1.945644399,-1.609189882,1.259079187,0.279731078,-1.609189882,-1.88892096,0,4.41,1,0.867,0.501246883,0,0.83029871,0.318550054,0.318550054,0.154307282,0.610186549,0.610186549,0,0.618,0
